City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
127,sterling,39.0062,-77.4286,15.68,67,100,1.34,US,1706379309
128,progresso,-29.2442,-52.3122,23.28,56,91,1.68,BR,1706379526
129,nemuro,43.3236,145.575,-1.3,79,100,5.79,JP,1706379526
130,baissa,7.2333,10.6333,28.9,18,0,1.67,NG,1706379527
131,chernyshevskiy,63.0128,112.4714,-40.75,100,47,1.01,RU,1706379527
132,whitehorse,60.7161,-135.0538,-4.17,95,100,4.36,CA,1706379527
133,vernon,50.2581,-119.2691,4.61,93,100,2.57,CA,1706379304
134,tazacorte,28.629,-17.9293,22.54,43,0,6.17,ES,1706379528
135,fort bragg,35.139,-79.006,21.08,62,75,0.0,US,1706379528
136,atafu village,-8.5421,-172.5159,29.04,71,76,4.58,TK,1706379528
137,port mathurin,-19.6833,63.4167,26.05,94,75,0.0,MU,1706379528
138,stanley,54.868,-1.6985,7.01,81,20,6.17,GB,1706379529
139,mangrol,21.1167,70.1167,21.72,54,82,3.1,IN,1706379529
140,tadine,-21.55,167.8833,24.33,68,99,1.34,NC,1706379529
141,mount pearl,47.5166,-52.7813,-0.31,74,20,3.09,CA,1706379529
142,aasiaat,68.7098,-52.8699,-27.32,99,100,3.28,GL,1706379529
143,bathurst,-33.4166,149.5806,11.74,48,0,1.5,AU,1706379530
144,ixtapa,20.7,-105.2,25.57,61,0,0.0,MX,1706379340
145,nova sintra,14.8667,-24.7167,22.1,68,98,2.97,CV,1706379530
146,altay,47.8667,88.1167,-11.49,69,100,1.56,CN,1706379531
147,mananjary,-21.2167,48.3333,24.67,80,3,2.25,MG,1706379531
148,hawaiian paradise park,19.5933,-154.9731,24.39,89,0,2.06,US,1706379531
149,avarua,-21.2078,-159.775,28.03,94,40,0.51,CK,1706379531
150,enewetak,11.3474,162.3373,25.71,66,100,4.84,MH,1706379532
151,zhigalovo,54.8097,105.1578,-28.0,100,100,1.22,RU,1706379532
152,samsun,41.25,36.3333,5.42,75,75,3.09,TR,1706379532
153,cockburn town,21.4612,-71.1419,25.3,71,1,8.09,TC,1706379532
154,la ronge,55.1001,-105.2842,-4.86,86,75,1.03,CA,1706379533
155,punta arenas,-53.15,-70.9167,16.06,39,0,16.98,CL,1706379533
156,laurel,39.0993,-76.8483,16.47,70,100,3.09,US,1706379308
157,zgornje jezersko,46.3833,14.4667,1.12,92,0,2.06,SI,1706379533
158,canutama,-6.5339,-64.3831,29.23,77,90,0.41,BR,1706379534
159,sao joao da barra,-21.6403,-41.0511,28.05,86,100,3.75,BR,1706379534
160,shakawe,-18.3667,21.85,25.37,44,65,2.37,BW,1706379534
161,regina,50.4501,-104.6178,-3.31,76,16,3.13,CA,1706379013
162,harrai,22.6167,79.2167,15.67,29,88,0.31,IN,1706379535
163,prince george,53.9166,-122.753,4.69,87,100,5.14,CA,1706379426
164,sitka,57.0531,-135.33,7.94,87,100,5.14,US,1706379239
165,serdar,38.9764,56.2757,5.56,73,100,3.71,TM,1706379535
166,nikolayevsk-on-amure,53.1406,140.73,-19.93,100,99,1.17,RU,1706379536
167,rio grande,-32.035,-52.0986,28.06,64,59,6.53,BR,1706379536
168,labrador city,52.9463,-66.9114,-5.05,86,100,8.75,CA,1706379536
169,anaconda,46.1285,-112.9423,-0.45,84,99,3.19,US,1706379401
170,west island,-12.1568,96.8225,26.99,89,100,3.6,CC,1706379536
171,akureyri,65.6835,-18.0878,-0.04,51,75,6.17,IS,1706379537
172,nogliki,51.8333,143.1667,-12.93,95,98,4.29,RU,1706379537
